(5000, 14)
(4999, 13)
(4998, 12)
(4997, 14)
(4996, 17)
(4995, 16)
(4994, 18)
(4993, 17)
(4992, 15)
(4991, 13)
(4990, 14)
(4989, 16)
(4988, 17)
(4987, 20)
(4986, 19)
(4985, 21)
(4984, 20)
(4983, 18)
(4982, 15)
(4981, 18)
(4980, 17)
(4979, 16)
(4978, 18)
(4977, 17)
(4976, 11)
(4975, 13)
(4974, 12)
(4973, 9)
(4972, 13)
(4971, 14)
(4970, 15)
(4969, 12)
(4968, 14)
(4967, 13)
(4966, 11)
(4965, 13)
(4964, 16)
(4963, 15)
(4962, 17)
(4961, 16)
(4960, 17)
(4959, 20)
(4958, 19)
(4957, 18)
(4956, 14)
(4955, 12)
(4954, 14)
(4953, 13)
(4952, 14)
(4951, 17)
