(5001, 10)
(5002, 16)
(5003, 17)
(5004, 15)
(5005, 14)
(5006, 17)
(5007, 16)
(5008, 15)
(5009, 13)
(5010, 16)
(5011, 15)
(5012, 16)
(5013, 14)
(5014, 17)
(5015, 16)
(5016, 19)
(5017, 18)
(5018, 19)
(5019, 17)
(5020, 18)
(5021, 19)
(5022, 15)
(5023, 17)
(5024, 18)
(5025, 16)
(5026, 12)
(5027, 19)
(5028, 21)
(5029, 20)
(5030, 18)
(5031, 22)
(5032, 21)
(5033, 20)
(5034, 22)
(5035, 24)
(5036, 23)
(5037, 24)
(5038, 21)
(5039, 19)
(5040, 22)
(5041, 21)
(5042, 22)
(5043, 20)
(5044, 22)
(5045, 21)
(5046, 22)
(5047, 23)
(5048, 17)
(5049, 18)
(5050, 20)
