

Ponta: 

(5767, 1)
(3802, 16)
(3098, 2)
(5411, 18)
(957, 3)
(4211, 11)
(6465, 2)
(3695, 12)
(4252, 3)
(7029, 20)
(5134, 4)
(3916, 18)
(1286, 4)
(5354, 16)
(7978, 3)
(6901, 15)
(9351, 4)
(6290, 23)
(1436, 5)
(4272, 15)
(629, 4)
(8167, 28)
(2306, 6)
(3047, 15)
(9953, 5)
(996, 14)
(4989, 5)
(5851, 18)
(6122, 3)
(2725, 25)
(5587, 5)
(1551, 17)
(6507, 4)
(3414, 20)
(9444, 6)
(992, 13)
(638, 5)
(2880, 27)
(1647, 7)
(7736, 19)
(7357, 5)
(9852, 19)
(5770, 4)
(7085, 20)
(4836, 6)
(3273, 17)
(3746, 4)
(9270, 24)
(3005, 7)
(2474, 17)
(6651, 6)


Meio à esquerda: 

(1650, 16)
(7315, 19)
(6147, 12)
(5931, 19)
(958, 9)
(8512, 18)
(7434, 18)
(9640, 18)
(1087, 12)
(8582, 18)
(7817, 14)
(9884, 19)
(1678, 18)
(9894, 19)
(4061, 18)
(30, 15)
(1727, 19)
(3842, 11)
(9551, 21)
(8107, 22)
(4774, 18)
(4271, 13)
(258, 14)
(4757, 20)
(1990, 21)
(2135, 18)
(1265, 15)
(429, 19)
(2731, 23)
(1906, 19)
(3056, 13)
(8373, 19)
(119, 18)
(1903, 18)
(4993, 18)
(8229, 20)
(2762, 17)
(3772, 16)
(4749, 19)
(5604, 13)
(5695, 14)
(7807, 16)
(2651, 20)
(9562, 18)
(9661, 19)
(6451, 9)
(3228, 17)
(9946, 13)
(5746, 14)
(6938, 17)
(1940, 18)


Meio à direita: 

(8546, 17)
(9200, 14)
(3405, 19)
(6353, 11)
(4938, 16)
(6185, 17)
(103, 15)
(7457, 18)
(827, 13)
(3125, 14)
(2635, 15)
(4110, 20)
(6077, 13)
(8818, 14)
(2121, 15)
(3156, 14)
(3932, 13)
(3924, 12)
(1967, 20)
(1134, 15)
(3706, 13)
(4854, 15)
(4360, 19)
(5554, 11)
(7914, 14)
(3247, 16)
(3521, 13)
(68, 18)
(9928, 19)
(2705, 24)
(2129, 14)
(7610, 19)
(6430, 12)
(4197, 11)
(2495, 18)
(2885, 22)
(3960, 16)
(5815, 13)
(4396, 16)
(626, 12)
(9897, 20)
(4337, 17)
(5761, 15)
(935, 15)
(8769, 14)
(4345, 16)
(4075, 20)
(883, 16)
(3925, 13)
(3954, 11)
(20, 16)
