(5001, 8)
(5002, 14)
(5003, 13)
(5004, 14)
(5005, 12)
(5006, 15)
(5007, 14)
(5008, 13)
(5009, 14)
(5010, 15)
(5011, 11)
(5012, 15)
(5013, 14)
(5014, 15)
(5015, 13)
(5016, 14)
(5017, 12)
(5018, 16)
(5019, 15)
(5020, 14)
(5021, 15)
(5022, 13)
(5023, 15)
(5024, 14)
(5025, 15)
(5026, 10)
(5027, 15)
(5028, 14)
(5029, 15)
(5030, 13)
(5031, 15)
(5032, 14)
(5033, 15)
(5034, 12)
(5035, 14)
(5036, 13)
(5037, 15)
(5038, 14)
(5039, 11)
(5040, 14)
(5041, 13)
(5042, 14)
(5043, 12)
(5044, 14)
(5045, 13)
(5046, 14)
(5047, 15)
(5048, 9)
(5049, 13)
(5050, 12)
